0,2997.222,Pop/Rock
1,31793.6201,Pop/Rock
2,226105.0229,Pop/Rock
3,1076.791551,Pop/Rock
4,0,Latin
5,36279.73421,Pop/Rock
6,30618.04552,Pop/Rock
7,0,Jazz
8,0,R&B;
9,0,International
10,1326.16496,Country
11,132207.3219,Pop/Rock
12,0.25,Classical
13,134.700441,Electronic
14,0,Stage & Screen
15,56.946297,Pop/Rock
16,1.796053,Comedy/Spoken
17,247.373089,Easy Listening
18,592.25623,Electronic
19,231.99341,Pop/Rock
20,4906.402935,R&B;
21,1021.640961,Pop/Rock
22,0,R&B;
23,575.301092,Pop/Rock
24,84063.46627,Pop/Rock
25,0,Vocal
26,1514.729807,R&B;
27,202.813993,Stage & Screen
28,300.40195,Reggae
29,2360.009357,Pop/Rock
30,0.592271,Blues
31,42.993919,Reggae
32,5402.427366,Pop/Rock
33,66.441702,New Age
34,48.385846,R&B;
35,13417.20646,Latin
36,88.656418,Pop/Rock
37,8503.774733,R&B;
38,0,Latin
39,94668.30882,Pop/Rock
40,225909.0197,Pop/Rock
41,360.649049,Pop/Rock
42,1987.734244,Pop/Rock
43,17.41437,Vocal
44,32.642986,Jazz
45,2296.691758,Electronic
46,45166.91221,Pop/Rock
47,1636.459526,Pop/Rock
48,14.396669,Vocal
49,0.358522,Jazz
50,56.474602,R&B;
51,2.270581,International
52,0.25,Latin
53,104.663236,Latin
54,20.629039,Country
55,2403.33259,Pop/Rock
56,145.644842,Pop/Rock
57,31.267809,R&B;
58,3341.856727,R&B;
59,21.254261,Pop/Rock
60,148446.2972,Pop/Rock
61,48138.55632,Pop/Rock
62,138.270562,Country
63,288.537624,R&B;
64,132.939889,Pop/Rock
65,46147.79361,Pop/Rock
66,110141.1018,Pop/Rock
67,71559.37704,Pop/Rock
68,41310.16023,Pop/Rock
69,171.33956,Pop/Rock
70,251.427725,Pop/Rock
71,29118.76611,Country
72,170154.2644,Pop/Rock
73,22570.68883,Pop/Rock
74,5.166275,Jazz
75,416924.7715,Pop/Rock
76,128030.041,Pop/Rock
77,12114.43725,Pop/Rock
78,4528.090954,Pop/Rock
79,15148.33909,Pop/Rock
80,0,Stage & Screen
81,41968.48941,Pop/Rock
82,9030.199389,Country
83,64.666105,R&B;
84,1.265207,Country
85,4974.054107,Pop/Rock
86,592.791077,Blues
87,0,Pop/Rock
88,65362.15153,Pop/Rock
