2573,537405.634,Paramore,Pop/Rock
3818,537188.967,We the Kings,Pop/Rock
1454,514004.7227,Disturbed,Pop/Rock
3133,458592.0208,Flyleaf,Pop/Rock
821,448694.2059,Hawthorne Heights,Pop/Rock
2928,442826.3881,Thirty Seconds to Mars,Pop/Rock
4511,431139.9369,Hoobastank,Pop/Rock
3665,422957.2738,The Maine,Pop/Rock
5284,422036.1321,The Cab,Pop/Rock
2205,421220.8813,Linkin Park,Pop/Rock
3358,418823.4084,Theory of a Deadman,Pop/Rock
75,416924.7715,Taproot,Pop/Rock
4980,414443.0238,Breaking Benjamin,Pop/Rock
4039,405722.2536,Avril Lavigne,Pop/Rock
2361,405605.3584,Panic! At the Disco,Pop/Rock
1412,393743.4522,Fall Out Boy,Pop/Rock
3810,386342.6899,Boys Like Girls,Pop/Rock
5131,370462.2671,The Red Jumpsuit Apparatus,Pop/Rock
4224,369047.47,Evanescence,Pop/Rock
5343,366831.2773,Of Mice & Men,Pop/Rock
5482,365132.1763,Moose Blood,Pop/Rock
2415,357750.4956,10 Years,Pop/Rock
5156,357627.7514,Forever the Sickest Kids,Pop/Rock
3918,357595.4253,Slipknot,Pop/Rock
5148,350772.2315,The White Tie Affair,Pop/Rock
1247,348392.6088,Bayside,Pop/Rock
4908,336988.9702,3 Doors Down,Pop/Rock
3564,334089.6602,Five Finger Death Punch,Pop/Rock
5503,327505.8864,5 Seconds of Summer,Pop/Rock
2873,326595.6997,Madina Lake,Pop/Rock
2439,323337.3938,Hollywood Undead,Pop/Rock
1292,322971.8604,Taking Back Sunday,Pop/Rock
4479,322877.9848,Hinder,Pop/Rock
3171,322166.0706,Jonas Brothers,Pop/Rock
3652,318777.8347,Good Charlotte,Pop/Rock
3067,318755.4247,Mudvayne,Pop/Rock
3222,317270.4564,Daughtry,Pop/Rock
3955,313367.9117,The All-American Rejects,Pop/Rock
2640,306854.5717,Norma Jean,Pop/Rock
4861,304622.0201,Mayday Parade,Pop/Rock
5463,301730.3877,Crown the Empire,Pop/Rock
3597,298407.5476,Cute Is What We Aim For,Pop/Rock
4112,293598.5647,Killswitch Engage,Pop/Rock
3823,293244.2981,All Time Low,Pop/Rock
4711,292837.2014,The Fray,Pop/Rock
3651,292667.5558,Godsmack,Pop/Rock
2975,291610.3129,Three Days Grace,Pop/Rock
3141,289317.0377,Bring Me the Horizon,Pop/Rock
2299,289268.4862,Puddle of Mudd,Pop/Rock
3370,283610.0441,Motion City Soundtrack,Pop/Rock
3142,281766.2834,Busted,Pop/Rock
2212,278620.6579,Limp Bizkit,Pop/Rock
3074,277478.2359,As I Lay Dying,Pop/Rock
3785,275015.4674,Avenged Sevenfold,Pop/Rock
4457,274895.1673,Deftones,Pop/Rock
1540,265750.9907,Finch,Pop/Rock
1488,263585.8949,Staind,Pop/Rock
946,261450.0429,Korn,Pop/Rock
5103,259953.1835,Alter Bridge,Pop/Rock
5161,258796.085,Demi Lovato,Pop/Rock
763,258522.0225,Chevelle,Pop/Rock
